first_name,last_name,street_num,address_1,address_2,suburb,postcode,state,DOB,SSN
 nicholas, clarke,13, gaylard place, tryphinia view, wetherill park,2810, nsw,19041223,392-7795
 mya, maksim,41, lambrigg street, brest hill, st kilda,6050, vic,19650630,148-8918
 katelyn, campbell,11, ogden close, willandra village, preston,2148, tas,19291114,404-3690
 makayla, herbert,5, plummer street, tarwyn park, hopetoun,3925, vic,19111103,175-6031
 ben, armiento,17, burnell place, john flynn hospital, fairlight,3630, qld, ,851-1174
 emiily, bradshaw,19, parkhill street, foxdown, south grafton,4207, vic,19270912,296-4855
 isabella, waller,155, blackburn street, omeo, brighton,5035, vic,19500719,727-0771
 hannah, white,2, gallagher street, fairholme, aspendale gardens,2505, nsw,19840119,900-7134
 nicholas, singleton, , lanley square, henry kendall bayside, malabar,4560, qld,19430819,773-7769
 tommy, matthews,23, quiros street, lift, north ryde,2229, wa,19051224,964-4815
 irene, alderman,9, tumbleton place, , wahroonga,3226, nsw,19670316,747-1765
 tahlia, fenwick,6, pandanus street, brentwood vlge, north curl curl,4825, qld,19430604,836-0325
 kimberly, mason,150, tauss place, , rosewater,7008, nsw,19840507,566-3441
 ruby, gilcrist,98, honyong crescent, aleon, bassendean,6230, qld,19760723,935-2851
 ebony, piniros,16, ashby circuit, myross, melton south,2913, nsw,19030607,680-4193
 christopher, lock,9, swinden street, heritage est, campsie,3046, vic,19200617,343-8940
 koula, haggett,18, hugh mckay crescent, woodleigh, lilydale,3028, vic,19000625,306-4629
 mackenzie, meaney,193, london circuit, , frankston,2148, vic,19600306,955-0123
 grace, bastiaans,201, karrugang circuit, milbrodale, eldorado,2835, nsw,19930330,857-5092
 michael, chigros,8, beasley street, gypsum pit, murrumbateman,3930, vic,19380317,501-8010
 anton, navalli,21, cambridge street, west park, underdale,5723, vic,19740929,876-0134
 alexander, green,18, julia flynn avenue, sec 375, connolly,2516, nsw,19071024,528-2495
 amelia, lowry,54, jandamarra street, ellwood, kinglake east,4208, qld,19231009,243-9141
 joel, finlay,3, budyan court, mountain view village, adamstown heights,2095, nsw,19171215,542-5013
 emiily, miles,21, andrea place, apt 211, kingsford,2576, nsw,19841130,411-7135
 belinda, de la cruz,7, carumbi place, eddington, charlestown,2460, vic,19020217,605-1352
 shai, lock,20, arabana street, kyeema vineyard, melville,6065, nsw,19820129,911-7058
 sara-louise, chandler,309, schonell circuit, shoal bay, sheidow park,2761, nsw,19050207,373-1436
 , riding,336, kallara close, unt 2, altona north,2177, qld,19320604,771-2618
 sophie, wynne,25, leahy close, box range, beechboro,2340, wa,19940105,594-8897
 elana, wilkins,11, blowering street, homevale, st kilda east,7183, nsw,19920601,408-8657
 taylor-saige, tiller,27, macdonnell street, tesbury, mooroolbark,2142, qld,19230531,991-4740
 charlotte, saltiel,25, discovery street, wanderers rest, long jetty,2135, sa,19291014,495-5093
 alana, reid,1, baume crescent, claymore springs, yarraville,3128, vic,19200219,914-7920
 bethany, belonoha,17, carstensz street, greenhills, samford,6023, vic,19870512,982-4396
 george, mccarthy,35, clubbe crescent, yakilli park, mentone,2540, vic,19350704,946-0223
 nicole, riddell,9, saunders street, scts crk, macquarie park,6323, nsw,19040601,878-5526
 reeve, michelmore,17, wambaya crescent, war veterans hme, cooloongup,6112, wa,19940723,814-3187
 finn, baradakis,13, launceston street, ferndale, coolbellup,2323, qld,19281212,128-1405
 amber, webb,1, biddlecombe street, cedarview, trevallyn,3777, qld,19920815,242-3271
 oscar, vrlic,10, singleton crescent, toora, robertson,4220, vic,19700526,453-9064
 robert, nguyen,26, willoughby crescent, wandendi, dianella,5155, nsw,19381017,498-2192
 michael, maynard,132, rogers street, leisure living vlge, pooraka,2144, nsw,19570508,309-6389
 , colquhoun,11, strong place, ocean star villas, modbury,2213, qld,19621022,305-8669
 cooper, clarke,2, poynton street, , dapto,2479, vic,19871109,440-5327
 teaha, kyriacou,17, iron place, , tambo upper,2783, nsw,19720829,681-0695
 grace, eyles,64, leighton street, , seven hills,4109, nsw,19810722,591-7130
 alicia, curry,51, macrossan crescent, yarrandoo, loganholme,4118, vic,19340827,297-3687
 brayden, tomney,6, spring range road, killarney, sunnybank,4670, nsw,19031003,397-3459
 william, reid,12, tatchell street, st georges park, hoppers crossing,4814, nsw,19750418,423-8509
 jackson, barisic,6, whitty crescent, gowrie, ringwood east,2286, nsw,19450822,134-2488
 hudson, chandler,86, campbell street, lazy acres, whittington,4570, sa,19950220,835-2621
 emerson, soulemezis,15, marshall street, birks harbour, st albans,2135, vic,19450805,876-0466
 evan, calio,40, sugarloaf circuit, mulvra, karalee,3033, nsw,19251026,118-6290
 lachlan, ryan,21, alberga street, tathra, forest hill,3150, qld,19070322,977-2701
 isabella, stephenson,38, majura avenue, mafeking, emerald,2212, qld,19840307,629-2167
 christian, la rance,18, tristania street, the swamp, mermaid waters,6020, nsw,19580426,285-7093
 holly, matthews,47, mountain circuit, , west lakes shore,5085, nsw,19721010,564-2441
 amy, shepherd,19, santalum street, the willows, lismore,5277, vic,19610121,244-1128
 sophie, coulson,8, blackburn street, makana station, mansfield park,5097, nsw,19690320,901-0006
 nicholas, jolly,8, piddington street, rosehill, burnside,872, nsw,19011217,766-2074
 timothy, webb,23, tom roberts avenue, cathederal place, padstow heights,2193, nsw,19270531,230-3333
 james, lupoi,46, mirrool street, walhalla, carlingford,2607, qld,19540202,758-2894
 sam, hage,1, sweet place, woodlands surgery centre, port macquarie,3206, qld,19430116,179-9750
 ellen, harrington,45, kardang street, crosslands, balhannah,3168, vic,19130627,620-4857
 isabella, petrikowski,4, mcbryde crescent, beaumont hills, loganlea,4034, nsw,19900210,249-3367
 ruby, vincent,1, gawler crescent, knmre street, penshurst,3585, nsw,19700602,653-2162
 , gilbertson,5, goodwin street, court units, ethelton,2193, qld,19020904,287-9807
 john-paul, parr,22, david street, greater cess vill, croydon north,4737, wa,19800811,870-3902
 willow, bennier,235, shackleton circuit, lakeview park, dianella,2340, qld,19030228,225-1111
 georgia, maynard,10, temperley street, tieve tara, toowong,3175, qld,19700324,346-5730
 makenzi, white,12, bimberi crescent, , seymour,2061, wa,19350712,681-6535
 hayden, marinos,10, chirnside circuit, allensleigh, success,6560, vic,19720613,604-6888
 sarah, tuckwell,39, dines place, raycroft, daisy hill,6149, vic,19100817,885-4990
 ash, nguyen,45, mcmillan crescent, warraview, mount gravatt,4165, nsw,19230118,277-0136
 victoria, zbierski,70, wybalena grove, inverneath, paralowie,5065, nsw,19720503,126-7612
 jessie, donkin,68, mackennal street, ferndale, port macquarie,2573, nsw,19900906,335-8033
 brielle, spears,8, tunney crescent, hd blanche sec 28, rosslyn park,3350, wa,19890201,314-0493
 maddison, weidenhofer,28, dinnison circuit, , bray park,2484, qld,19781125,627-3334
 claudia, white,76, willoughby crescent, greenslopes, albion park rail,3178, wa,19810107,117-0705
 tai, matthews,161, norman fisher circuit, home vlge, bracknell,2258, qld,19120506,753-5799
 benjamin, yen,43, kambalda crescent, elmwood, findon,3807, nsw,19850706,784-3492
 bianca, cobbett,32, yerralee road, wongon, woodend,3083, vic, ,102-0735
 lauren, hilton,16, grayson street, glenmore, corio,2645, wa,19150223,561-1249
 mackenzie, boocock,81, tipiloura street, ursula, budgewoi,7027, nsw,19030720,643-5654
 layla, chammen,9, discovery street, st francis vlge, keilor east,5352, nsw,19550123,405-5724
 jasmin, kulas,1, sheehan street, salimtal, toowoomba,3850, nsw,19210113,742-5903
 bailey, green,76, jackie howe crescent, glengara village, murgon,3340, nsw,19960416,988-2349
 alisha, reid,89, rosenthal street, blue haven village, rushworth,3293, nsw,19951111,398-0129
 william, white,33, downes place, , normanhurst,3057, sa,19970306,905-3801
 daniel, commons,33, nungara street, glenhurst, chester hill,4740, wa,19350922,160-6130
 brooke, homles, , yiman street, high valley, camira,5043, nsw,19360812,545-0160
 emma, marcola,7, totterdell street, rosetta village, goonellabah,6018, vic,19641017,719-0961
 jack, highet,26, mathieson crescent, , whittington,3064, vic,19650507,626-0000
 thomas, hare,18, gilderston circuit, canowindra, coffs harbour,4211, nsw,19190206,327-7988
 luke, mahony,58, scaddan place, elston, beenleigh,2830, qld,19550621,601-3061
 trey, saines,26, throssell street, kindilan, buff point,4161, act,19110205,274-0304
 sebastian, garcia,24, cockcroft avenue, , blacktown,4077, sa,19640925,245-2041
 renee, renfrey,24, serpentine street, retmnt vlge, winchelsea,2176, wa,19690305,515-3203
 annabelle, berry,40, rowntree crescent, cherry haven, tongala,6028, wa,19430705,251-0289
 riley, green,20, riordan street, tillside, burwood,3199, vic,19531216,536-8190
 heath, everett,7, hurry place, reinfrew park, belmont,2447, qld,19430804,747-4300
 zarran, eisele,39, national circuit, kojonolokan hills, penguin,5114, tas,19330305,398-3917
 brooklyn, mercorella,41, endeavour street, knox retirement village, concord west,2083, nsw,19050705,787-7973
 juliana, matthews,1261, lamington street, mount patrick, brighton-le-sands,2287, vic,19030123,954-4022
 daniel, lowe,18, stanfield close, , plympton south,2111, vic,19230424,522-6883
 georgia, green,18, madigan street, kareela, mentone,3137, qld,19341105,578-8426
 james, stearnes,8, leahy close, , bayswater,3195, nsw,19330802,990-0161
 lara, carbone,61, beasley street, ebony's retreat, bossley park,5343, vic,19560105,254-2464
 emerson, whiteway,1, westhoven street, yurara park, brighton,3356, vic,19430528,893-2147
 ella, browne,35, tanjil loop, cedarview, berkeley vale,4564, qld,19480726,664-6608
 samuel, matthews,42, ferdinand street, eagle rock, east fremantle,2049, nsw,19140402,459-3177
 meg, everett,13, greenough circuit, miowera, caves beach,2267, nsw,19660606,899-0768
 brianna, white,5, hazel smith crescent, water view, loganholme,2210, nsw,19860705,327-5049
 lilly, millar, , castlereagh crescent, berkeley vlge, orchard hills,2285, qld,19350722,699-1931
 thomas, white,42, cochrane crescent, balmoral garden, sefton,3136, qld,19800413,115-3372
 caitlin, weaver,298, vagabond crescent, francis chambers, thornbury,5072, nsw,19680909,nan-
 alex, plumb,41, mcrae place, castlewood, pakenham,4214, nsw,19460521,239-0847
 simon, clarke,21, verdon street, antanoff' south, warracknabeal,2777, vic,19630730,100-9287
 angelina, ryan,1, andrews street, glenmore, bowning,2221, nsw,19460915,377-8166
 henry, varcoe,4, fox place, cabbage tree, robina,6051, wa,19440630,481-6938
 thomas, green,10, dumas street, bonnie doon, innaloo,5108, nsw,19340204,681-7957
 hudson, caine,19, mackellar crescent, judy's creek, east melbourne,2130, nsw,19490406,768-9320
 henry, martinello,48, fred lane crescent, coorabil, northampton,2794, qld,19410617,472-1399
 joshua, rigley,19, east place, kergunyah, kingaroy,3665, vic,19670613,409-6438
 tasman, green,36, wynn street, nixon hostel, penrith,2132, qld,19390608,292-8427
 mia, miles,54, beirne street, pacific palms caravn park, windsor,3268, nsw,19720726,367-1331
 elly, miles,2, vidal place, pacific regis, loganlea,6061, qld,19451126,517-9731
 blaize, mcfadden,12, fitchett street, brentwood village, yass,2062, nsw,19470701,193-0825
 tanyshah, praehofer,15, moogerah street, roseglen, woollahra,3875, nsw,19290421,788-1845
 david, ,3, eggers place, ainslie house, nubeena,4869, nsw,19380403,657-5835
 samuel, goldsworthy,28, louis loder street, grant patch, naremburn,4055, sa,19270607,506-1165
 blakeston, broadby,53, traeger street, valley of springs, north ward,3083, qld,19120907,430-8555
 noah, rosato,25, la perouse street, cowal, east maitland,7140, wa,19160718,606-4519
 kirra, coppola,33, waugh close, tintagel, warilla,3926, nsw,19531118,922-3478
 brody, stearnes,7, fincham crescent, binnalong, thornbury,3639, vic,19440417,836-3677
 kristen, white,5, sherlock street, morayfield exchange, wangaratta,5082, wa,19761201,830-0732
 lucas, white,56, hacke place, carlow, prospect,4650, vic,19400902,264-0399
 blake, bracci,159, duffy street, hillcrest lodge, bacchus marsh,4510, nsw,19590213,995-9006
 lawson, brooker,6, , cascades, brunswick heads,3218, nsw,19960904,933-8356
 gemaley, meadows,42, alarmon crescent, kalang, newham,3146, vic,19230420,502-9065
 noah, scott-jackson,38, kosciusko avenue, upper flat, punchbowl,4306, nsw,19811218,285-9455
 georgia, rau,12, wolff crescent, mt derriwong, greendale,3805, qld,19451104,729-7422
 talia, dhara,81, kirkham place, lochenfels, bidwill,4160, wa,19700715,904-8094
 georgia, asher,38, onslow street, rsdb 284, prospect,5434, nsw,19801009,689-9844
 louise, bowerman,27, nelson place, , keysborough,3805, vic,19141204,723-8468
 emiily, binns,24, howell place, sec 142 hd rounsevell, ryde,2627, wa,19941108,891-9080
 robert, george,28, erldunda circuit, nioka, picton,4814, nsw,19400601,414-9373
 georgia, gilkes,16, eagle circuit, hornsbie, wantirna,2251, wa,19241007,732-6444
 lucas, kulesza,7, bertel crescent, southern cross, lawrence,2577, wa,19460901,104-7465
 jessica, robson,337, marcus clarke street, macarthur, vermont,3429, nsw,19790719,629-3706
 carly, honeychurch,4, dalley crescent, john flynn medical centre, oakville,4700, sa,19510713,335-9709
 tara, radulescu,83, carslaw street, croydon, inglewood,2118, nsw,19960701,708-2968
 jaden, brammy,22, blackett crescent, parry house, keilor east,4810, tas,19620916,393-4199
 , kars,120, gurrang avenue, alnwick, rosslea,3241, vic,19880426,593-2561
 barnaby, wevill,26, barringer street, sec 692, girgarre,2165, qld,19741112,387-9376
 imogen, hope,5, dumaresq street, delmar, beecroft,7307, wa,19770614,843-8312
 jessica, liddy,15, hyndes crescent, sec 1, fairlight,4133, nsw,19620602,939-9509
 jacqueline, ferris,107, kriewaldt circuit, dunmoven, mirrabooka,3195, vic,19250708,632-0610
 andrew, berry,70, galibal street, blue haven village, ascot,5606, sa,19540522,479-9173
 jessica, mac neill,13, neeld place, bessy sue, sheffield,3124, act,19160213,641-6337
 jayden, rees,41, beaufort retreat, ramano estate locn 1, black rock,5253, qld,19350102,817-0572
 jasmine, mcfadden,46, noongale court, rosetta village, marshdale,4215, sa,19760927,640-1287
 tyler, beattie,4, cambridge street, kintyre, deagon,3151, vic,19950713,330-9482
 adam, clarke,3, skinner street, kona, woodcroft,4878, wa,19270705,711-2414
 joshua, londrigan,15, mayo street, pacific haven, wendouree,2505, sa,19450424,418-4958
 dillon, cranefield,9, loch street, rowethorpe d1, lutwyche,2650, qld,19601109,741-7124
 , dixon,13, salsola street, the homestead, lawson,6210, qld,19370314,775-3663
 april, wehr,1, ellerston avenue, darlington, joondanna,2150, wa,19941109,256-0536
 connor, foall,17, lamb place, , kilsyth,3174, qld,19140927,490-0414
 logan, bishop,1, tanjil loop, colombo plains, inglewood,2113, qld,19000423,169-8144
 jessica, singleton,40, tyrrell circuit, villa 2, farrer,4422, qld,19241115,763-4940
 liam, petersen,38, solomon crescent, blue hills, mosman,3630, vic,19800221,714-8654
 annabelle, ,6, dethridge street, the castle, oakville,2526, vic,19350712,121-4735
